run,no_ruin
269,True
270,True
271,True
272,True
273,True
274,True
275,False
276,True
277,True
278,True
279,True
280,True
281,False
282,True
283,True
284,False
285,True
286,True
287,True
288,True
289,True
290,True
291,False
292,True
293,True
294,False
295,True
296,False
297,True
298,True
299,False
300,True
301,False
302,True
303,False
304,True
305,True
306,True
307,True
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,False
319,True
320,True
321,False
322,True
323,True
324,False
325,False
326,False
327,False
328,True
329,True
330,True
331,True
332,False
333,True
334,True
335,True
336,True
337,True
338,True
339,True
340,True
341,True
342,True
343,False
344,True
345,False
346,True
347,False
348,False
349,True
350,True
351,True
352,True
353,True
354,False
355,True
356,True
357,True
358,True
359,False
360,False
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,True
373,False
374,False
375,False
376,True
377,True
378,True
379,False
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,False
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,False
396,True
397,True
398,True
399,True
400,True
401,False
402,True
403,True
404,False
405,True
406,True
407,True
408,False
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,False
417,True
418,True
419,False
420,True
421,True
422,True
423,True
424,False
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,False
434,True
435,False
436,True
437,False
438,True
439,True
440,True
441,True
442,True
443,True
444,True
445,True
446,True
447,True
448,True
449,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,False
459,True
460,False
461,True
462,True
463,False
464,False
465,True
466,False
467,True
468,True
469,True
470,True
471,False
472,False
473,False
474,True
475,False
476,False
477,True
478,True
479,False
480,True
481,False
482,True
483,True
484,True
485,True
486,False
487,True
488,False
489,True
490,True
491,True
492,True
493,False
494,True
495,True
496,False
497,True
498,False
499,True
500,True
501,True
502,True
503,False
504,True
505,True
506,True
507,True
508,True
509,True
510,False
511,True
512,True
513,True
514,True
515,True
516,True
517,True
518,True
519,False
520,True
521,True
522,False
523,True
524,True
525,True
526,True
527,True
528,True
529,False
530,False
531,True
532,False
533,True
534,True
535,False
536,True
537,True
538,True
539,True
540,True
541,True
542,False
543,True
544,True
545,False
546,True
547,True
548,True
549,True
550,True
551,True
552,True
553,True
554,True
555,True
556,True
557,True
558,True
559,True
560,False
561,False
562,True
563,True
564,True
565,False
566,False
567,False
568,True
569,True
570,True
571,True
572,False
573,True
574,True
575,True
576,True
577,False
578,True
579,True
580,True
581,True
582,True
583,True
584,False
585,False
586,True
587,True
588,True
589,False
590,True
591,True
592,False
593,True
594,True
595,False
596,False
597,False
598,False
599,True
600,True
601,True
602,True
603,True
604,True
605,True
606,True
607,True
608,False
609,False
610,True
611,False
612,True
613,True
614,True
615,True
616,False
617,True
618,True
619,True
620,True
621,True
622,True
623,False
624,True
625,True
626,True
627,True
628,False
629,True
630,True
631,False
632,False
633,True
634,True
635,False
636,True
637,True
638,True
639,True
640,True
641,False
642,True
643,False
644,True
645,True
646,True
647,True
648,True
649,True
650,True
651,False
652,True
653,True
654,False
655,False
656,True
657,True
658,False
659,True
660,False
661,True
662,False
663,False
664,False
665,False
666,True
667,True
668,True
669,True
670,False
671,True
672,False
673,False
674,True
675,False
676,False
677,True
678,True
679,True
680,True
681,True
682,False
683,True
684,True
685,True
686,True
687,True
688,False
689,True
690,True
691,True
692,False
693,True
694,True
695,True
696,True
697,True
698,True
699,True
700,True
701,True
702,True
703,True
704,True
705,True
706,False
707,False
708,False
709,False
710,True
711,True
712,True
713,True
714,True
715,True
716,True
717,True
718,True
719,True
720,True
721,True
722,True
723,True
724,True
725,True
726,False
727,True
728,True
729,True
730,True
731,True
732,False
733,False
734,False
735,True
736,True
737,True
738,True
739,True
740,True
741,True
742,False
743,False
744,True
745,True
746,True
747,True
748,False
749,False
750,True
751,True
752,True
753,True
754,True
755,True
756,True
757,False
758,False
759,True
760,True
761,False
762,True
763,True
764,True
765,False
766,True
767,False
768,False
769,True
770,True
771,True
772,False
773,True
774,True
775,True
776,True
777,True
778,False
779,True
780,True
781,False
782,True
783,True
784,False
785,True
786,False
787,False
788,False
789,True
790,False
791,False
792,True
793,False
794,False
795,True
796,True
797,False
798,False
799,True
800,False
801,False
802,True
803,False
804,False
805,True
806,False
807,False
808,True
809,False
810,True
811,False
812,False
813,True
814,True
815,True
816,True
817,True
818,True
819,True
820,True
821,False
822,False
823,True
824,True
825,False
826,True
827,True
828,True
829,True
830,False
831,True
832,False
833,True
834,False
835,True
836,False
837,True
838,False
839,True
840,True
841,False
842,True
843,False
844,True
845,True
846,False
847,True
848,False
849,False
850,True
851,True
852,False
853,True
854,True
855,False
856,False
857,True
858,True
859,False
860,True
861,False
862,True
863,True
864,True
865,True
866,True
867,False
868,True
869,True
870,True
871,True
872,False
873,True
874,True
875,True
876,False
877,False
878,True
879,True
880,True
881,True
882,True
883,False
884,True
885,True
886,False
887,True
888,True
889,True
890,True
891,False
892,True
893,False
894,False
895,True
896,True
897,True
898,False
899,True
900,True
901,True
902,True
903,True
904,True
905,True
906,False
907,False
908,True
909,True
910,True
911,True
912,True
913,False
914,True
915,True
916,True
917,True
918,True
919,True
920,True
921,False
922,True
923,True
924,True
925,True
926,True
927,False
928,True
929,True
930,True
931,True
932,True
933,True
934,False
935,False
936,False
937,True
938,False
939,True
940,True
941,True
942,False
943,False
944,True
945,True
946,False
947,True
948,True
949,True
950,False
951,True
952,False
953,True
954,True
955,True
956,True
957,True
958,True
959,True
960,True
961,False
962,True
963,False
964,True
965,True
966,False
967,True
968,True
969,False
970,True
971,False
972,True
973,True
974,True
975,True
976,True
977,True
978,True
979,False
980,True
981,False
982,True
983,False
984,True
985,False
986,True
987,True
988,True
989,False
990,True
991,True
992,True
993,True
994,True
995,True
996,True
997,True
998,True
999,True
1000,True
